black1,red1,strike1,black2,red2,strike2,title,description,location,start_date,end_date,start_time,end_time,tags
0,,,,,,Grant Park Music Festival - Independence Day Salute,"Christopher Bell leads the Grant Park Orchestra for its annual Independence Day Salute, full of patriotic favorites including Gershwin's soaring Piano Concerto in F with pianist Terrence Wilson.
Map: https://goo.gl/maps/JOi6w
About: http://www.grantparkmusicfestival.com/2015-season/independence-day-salute
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com
","South Shore Cultural Center, 7059 South South Shore Drive, Chicago, IL 60649, United States",7/1/15,7/1/15,6:30:00 PM,8:30:00 PM,none
0,,,,,,Grant Park Music Festival - CYSO's Symphony Orchestra,"The Grant Park Music Festival presents one of the nation's leading youth orchestras  for an evening of Russian favorites, with collaborative performances by special guests from Beijing's China Conservatory. (The Grant Park Orchestra will not perform at this concert.)
Map: http://goo.gl/maps/wt6bH
About: http://www.grantparkmusicfestival.com/2015-season/chicago-youth-symphony-orchestra
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com",,7/1/15,7/1/15,6:30:00 PM,8:15:00 PM,none
0,,,1,,,Full Moon Fire Jam,"The Full Moon Jams’ unite performing artists and spectators through a love and appreciation of fire art. Encompassing myriad performance styles and tools, fire dancers from the greater Chicago area and Great Lakes share their creative gifts by the shore of Lake Michigan, set to the percussive beats of local musicians, in this unique and free to the public monthly event taking place through Spring and into Fall.
Map: http://goo.gl/maps/md9zx
About: http://www.fullmoonjam.org/about/
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","41.974378,-87.647852",7/1/15,7/1/15,6:45:00 PM,10:15:00 PM,none
0,,,,,,Movies in the Park - The Sandlot (PG),"A new kid in town is taken under the wing of a young baseball prodigy and his team. Together, they get themselves into many adventures involving rival teams, lifeguards, and a vicious dog.
Where: Gladstone Park
Map: https://maps.google.com/maps?q=5421+N+Menard+Ave+Chicago,+IL+60630
About: http://www.imdb.com/title/tt0108037
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Gladstone1/
Park info: http://www.chicagoparkdistrict.com/parks/Gladstone-Park/
Neighborhood: Jefferson Park
Closed Captions: Yes
Runtime: 101 minutes
Call (773) 631-7859 for weather related cancellation information or email Carrie Morrissey at carrie.morrissey@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","5421 N Menard Ave Chicago, IL 60630",7/1/15,7/1/15,8:45:00 PM,10:26:00 PM,none
0,,,,,,Movies in the Park - How to Train Your Dragon 2 (PG),"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.
Where: Washtenaw Park
Map: https://maps.google.com/maps?q=2521+S+Washtenaw+Avenue+Chicago,+IL+60608
About: http://www.imdb.com/title/tt1646971
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Washtenaw1/
Park info: http://www.chicagoparkdistrict.com/parks/Washtenaw-Park/
Neighborhood: South Lawndale
Closed Captions: Yes
Runtime: 102 minutes
Call (312) 747-6992for weather related cancellation information or email Leonard Langdon at leonard.langdon@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","2521 S Washtenaw Avenue Chicago, IL 60608",7/1/15,7/1/15,8:45:00 PM,10:27:00 PM,none
0,,,,,,Movies in the Park - The Princess Bride (PG),"While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.
Where: Lincoln Park
Map: https://maps.google.com/maps?q=2045+N+Lincoln+Park+West+Chicago,+IL+60614
About: http://www.imdb.com/title/tt0093779
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lincoln1/
Park info: http://www.chicagoparkdistrict.com/parks/lincoln-park/
Neighborhood: Lincoln Park
Closed Captions: Yes
Runtime: 98 minutes
Call (312) 742-7726 for weather related cancellation information or email Lauren Quinn at lauren.quinn@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","2045 N Lincoln Park West Chicago, IL 60614",7/1/15,7/1/15,8:45:00 PM,10:23:00 PM,none
1,,,,,,Navy Pier Fireworks,"Navy Pier is the destination for fireworks on Lake Michigan all year long. Join us for spectacular fireworks perfectly synchronized to music, no matter the time of year. The summer schedule begins Memorial Day weekend with fireworks every Wednesday at 9:30 p.m. and Saturday at 10:15 p.m. through Labor Day weekend. Whether viewing from the dock or on board an evening cruise, fireworks is the perfect way to end your day at Navy Pier.
Map: http://goo.gl/maps/Ky7Hg
About: http://www.navypier.com/things2do/fireworks.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Navy Pier, East Grand Avenue, Chicago, IL, United States",7/1/15,7/1/15,9:30:00 PM,10:00:00 PM,none
0,,,,,,Farmers Market - Multiple Locations,"Chicago's Farmers Markets bring more than 70 vendors selling fresh fruits, vegetables, plants and flowers to neighborhoods throughout the City of Chicago.
Locations -
Daley Plaza 7am - 3pm
Map: https://goo.gl/maps/vHST2
Downtown 7am - 3pm
Map: https://goo.gl/maps/uQ14Q
South Loop 4pm - 8pm
Map: https://goo.gl/maps/VsC1O
Hyde Park 7am - 1pm
Map: https://goo.gl/maps/6dJ9d
Lincoln Square 4pm - 8pm
Map: https://goo.gl/maps/zJZ2K
Southport 3pm - 8pm
Map: https://goo.gl/maps/s4OT3
Uptown 7am - 1pm
Map: https://goo.gl/maps/3cgDi
Austin 2pm - 7pm
Map: https://goo.gl/maps/GzqJO
About: http://www.cityofchicago.org/city/en/depts/dca/supp_info/farmersmarkets0.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","50 W Washington St, Chicago, IL 60602, USA",7/2/15,7/2/15,7:00:00 AM,8:00:00 PM,none
1,,,,,,Nature Museum Free,"Note: Admission free every Thursday for Illinois residents ONLY.
Experience a gateway to the natural world. Get your hands wet as you learn about Chicago's waterways and the organisms that reside within them. Touch live animals found in Illinois wetlands. Let your imagination run wild as you walk among Wilderness Walk and our restored native prairie. Escape to a Haven fluttering with exotic butterflies and stunning bird species. The possibilities for fun and learning are endless at the Peggy Notebaert Nature Museum.
Map: https://goo.gl/maps/gWfJJ
About: http://www.naturemuseum.org/index.php?id=168
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, IL 60614, United States",7/2/15,7/2/15,9:00:00 AM,5:00:00 PM,none
0,,,,,,Children's Museum Free,"Chicago Children’s Museum is a place where families and caregivers with infants and children are encouraged to create, explore, and discover together through play. The museum features three vibrant floors of exhibits and activities that provide sensory experiences and engaging educational content focusing on literacy, science, math, visual and performing arts, and health.
Map: https://goo.gl/maps/6v93u
About: http://www.chicagochildrensmuseum.org/index.php/plan/free-discounted-visits
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com
","Chicago Children's Museum, 700 East Grand Avenue, Chicago, IL 60611, United States",7/2/15,7/2/15,5:00:00 PM,8:00:00 PM,none
1,,,,,,Art Museum Free,"FREE THURSDAYS ARE BACK! Beginning February 14, 2013, admission to the Art Institute of Chicago is free to Illinois residents every Thursday from 5:00 to 8:00 p.m. Admission to the Art Institute of Chicago is free to Illinois residents every weekday from January 7 through February 13, 2013. (Combining events for easy entry, note that after Feb 14th free entry begins at 5pm)
Map: http://goo.gl/maps/1FBhJ
About: http://www.artic.edu/aic/visitor_info/geninfo.html#hours
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com",The Art Institute of Chicago,7/2/15,7/3/15,5:00:00 PM,2:30:00 AM,none
0,,,,,,Downtown Sound - Antibalas + Sonny Knight and The Lakers,"Born in a Brooklyn warehouse in 1997, 12-piece ensemble Antibalas is credited with introducing Afrobeat to a wider global audience, influencing countless musicians and developing a live show that is the stuff of legend. On the heels of the hit musical FELA!, on which several members collaborated, Antibalas has reunited with former member and producer Gabe Roth. The debut album from Sonny Knight and The Lakers, I’m Still Here, was released in 2014. In person, Sonny Knight defies his 66 years of age. Nearly 50 years have passed since Knight’s first recording, but he says for the first time he feels like the center of attention.
Map: http://goo.gl/maps/wt6bH
About: http://www.cityofchicago.org/city/en/depts/dca/supp_info/millennium_park1.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Jay Pritzker Pavilion at Millennium Park, 201 East Randolph Street, Chicago, IL 60601, United States",7/2/15,7/2/15,6:30:00 PM,10:00:00 PM,none
0,,,1,,,Movies in the Park - Back to the Future (PG),"A young man is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.
Where: Wentworth Park
Map: https://maps.google.com/maps?q=5625+S+Mobile+Ave+Chicago,+IL+60638
About: http://www.imdb.com/title/tt0088763
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wentworth2/
Park info: http://www.chicagoparkdistrict.com/parks/Wentworth-Park/
Neighborhood: Garfield Ridge
Closed Captions: Yes
Runtime: 126 minutes
Call (312) 747-6993for weather related cancellation information or email Dan Ryan at dan.ryan@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","5625 S Mobile Ave Chicago, IL 60638",7/2/15,7/2/15,8:45:00 PM,10:51:00 PM,none
0,,,,,,Movies in the Park - Strange Magic (PG),"Goblins, elves, fairies and imps, and their misadventures sparked by the battle over a powerful potion.
Where: Broncho Billy Playlot Park
Map: https://maps.google.com/maps?q=4437+N+Magnolia+Ave+Chicago,+IL+60640
About: http://www.imdb.com/title/tt4191054
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Broncho-Billy1/
Park info: http://www.chicagoparkdistrict.com/parks/Broncho-Billy-Playlot-Park/
Neighborhood: Uptown
Closed Captions: No
Runtime: 99 minutes
Call (312) 742-7802 for weather related cancellation information or email Robert Geraghty at robert.geraghty@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","4437 N Magnolia Ave Chicago, IL 60640",7/2/15,7/2/15,8:45:00 PM,10:24:00 PM,none
0,,,,,,Movies in the Park - The Boxtrolls (PG),"A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator. Based on the children's novel 'Here Be Monsters' by Alan Snow.
Where: Ellis Park
Map: https://maps.google.com/maps?q=535+E+35th+St+Chicago,+IL+60653
About: http://www.imdb.com/title/tt0787474
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Ellis6/
Park info: http://www.chicagoparkdistrict.com/parks/ellis-samuel-park/
Neighborhood: Douglas
Closed Captions: Yes
Runtime: 96 minutes
Call (312) 656-0423 for weather related cancellation information or email Christopher Zorich at christopher.zorich@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","535 E 35th St Chicago, IL 60653",7/2/15,7/2/15,8:45:00 PM,10:21:00 PM,none
0,,,,,,Movies in the Park - Despicable Me 2 (PG),"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.
Where: Fuller Park
Map: https://maps.google.com/maps?q=331+W+45th+St+Chicago,+IL+60609
About: http://www.imdb.com/title/tt1690953
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fuller2/
Park info: http://www.chicagoparkdistrict.com/parks/Fuller-Park/
Neighborhood: Fuller Park
Closed Captions: Yes
Runtime: 98 minutes
Call (312) 747-6144for weather related cancellation information or email Michael Brown at michael.brown2@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","331 W 45th St Chicago, IL 60609",7/2/15,7/2/15,8:45:00 PM,10:23:00 PM,none
0,,,,,,African/Caribbean International Festival of Life,"The International Festival of Life(IFOL) was created in 1993. The IFOL festival is dedicated to celebrating the humanity of all people. The event allows cultural, educational and spiritual exchange through innovative programming and a marketplace format that highlights the global spectrum of entertainment, food, fine arts, crafts, small business and corporate communities. Two themes have been adapted to the International Festival of Life: “Bringing Nations Together” and “Living Together as One”.
Map: http://goo.gl/maps/sgPOc
About: http://martinsinterculture.com/ifol.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","1501 W Randolph St, Chicago, IL 60607, USA",7/3/15,7/3/15,12:00:00 PM,10:00:00 PM,none
0,,,,,,Windy City Ribfest,"Finger lickin' slabs from some of the best local and national ribbers will be in the spotlight at this popular summer food/street fest that's celebrating its seventh year in 2015. Even better? A rockin' 3-day music stage lineup featuring some of the hottest local and national rock/pop and classic indie acts as well as local tribute bands! 
Map: https://goo.gl/maps/dOjix
About: http://www.chicagoevents.com/event.cfm?eid=190
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Lawrence & Broadway, United States",7/3/15,7/3/15,12:00:00 PM,10:00:00 PM,none
0,,,,,,Summerdance -,"Individual themes TBA
Lessons: 6-7 p.m.
Live music: 7:30-9:30 p.m. 
Map: http://goo.gl/maps/15QE
About: http://www.chicagosummerdance.com
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","601 S Michigan Ave, Chicago, IL 60605, USA",7/3/15,7/3/15,6:00:00 PM,9:30:00 PM,none
0,,,,,,Grant Park Music Festival - Schumann Rhenish Symphony,"Acclaimed cellist Tanja Tetzlaff returns to perform Lalo's Cello Concerto. Schumann's joyful and exuberant Rhenish Symphony and David Diamond's Rounds for String Orchestra complete the program.
Map: http://goo.gl/maps/wt6bH
About: http://www.grantparkmusicfestival.com/2015-season/schumann-rhenish-symphony
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Jay Pritzker Pavilion at Millennium Park, 201 East Randolph Street, Chicago, IL 60601, United States",7/3/15,7/3/15,6:30:00 PM,8:30:00 PM,none
0,,,,,,Independence Day,,,7/4/15,7/5/15,12:00:00 AM,12:00:00 AM,none
0,,,,,,Farmers Market - Multiple Locations,"Chicago's Farmers Markets bring more than 70 vendors selling fresh fruits, vegetables, plants and flowers to neighborhoods throughout the City of Chicago.
Locations -
Division Street 7am - 1pm
Map: https://goo.gl/maps/FqAb9
Edgewater 8am - 1pm
Map: https://goo.gl/maps/qKJ4H
Humboldt Park 10am - 3pm
Map: https://goo.gl/maps/BIl1h
Englewood 8am - 1pm
Map: https://goo.gl/maps/x4AqF
Green City Lincoln Park 7am - 1pm
Map: https://goo.gl/maps/nCXIY
Green City Fulton Market 7am - 1pm
Map: https://goo.gl/maps/gzL5n
Horner Park 9am - 1pm
Map: https://goo.gl/maps/Euemb
Lincoln Park 7am - 1pm
Map: https://goo.gl/maps/KfKcI
North Center 7am - 1pm
Map: https://goo.gl/maps/OklNz
Plant Chicago 11am - 3:30pm
Map: https://goo.gl/maps/Sr5vd
Printers Row 7am - 1pm
Map: https://goo.gl/maps/jNSxX
Roseland 10am - 3pm
Map: https://goo.gl/maps/qYcBR
61st Street 9am - 2pm
Map: https://goo.gl/maps/sMbUZ
West Humboldt Park 10am - 2pm
Map: https://goo.gl/maps/0Pl5u
South Shore 11am - 4pm
Map: https://goo.gl/maps/uQ14Q
About: http://www.cityofchicago.org/city/en/depts/dca/supp_info/farmersmarkets0.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","1800 N Clark St, Chicago, IL 60614, USA",7/4/15,7/4/15,7:00:00 AM,4:00:00 PM,none
0,,,,,,African/Caribbean International Festival of Life,"The International Festival of Life(IFOL) was created in 1993. The IFOL festival is dedicated to celebrating the humanity of all people. The event allows cultural, educational and spiritual exchange through innovative programming and a marketplace format that highlights the global spectrum of entertainment, food, fine arts, crafts, small business and corporate communities. Two themes have been adapted to the International Festival of Life: “Bringing Nations Together” and “Living Together as One”.
Map: http://goo.gl/maps/sgPOc
About: http://martinsinterculture.com/ifol.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","1501 W Randolph St, Chicago, IL 60607, USA",7/4/15,7/4/15,12:00:00 PM,10:00:00 PM,none
0,,,,1,,Windy City Ribfest,"Finger lickin' slabs from some of the best local and national ribbers will be in the spotlight at this popular summer food/street fest that's celebrating its seventh year in 2015. Even better? A rockin' 3-day music stage lineup featuring some of the hottest local and national rock/pop and classic indie acts as well as local tribute bands! 
Map: https://goo.gl/maps/dOjix
About: http://www.chicagoevents.com/event.cfm?eid=190
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Lawrence & Broadway, United States",7/4/15,7/4/15,12:00:00 PM,10:00:00 PM,none
0,,,,1,,Summerdance -,"Individual themes TBA
Lessons: 6-7 p.m.
Live music: 7:30-9:30 p.m. 
Map: http://goo.gl/maps/15QE
About: http://www.chicagosummerdance.com
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","601 S Michigan Ave, Chicago, IL 60605, USA",7/4/15,7/4/15,6:00:00 PM,9:30:00 PM,none
0,,,,,,Grant Park Music Festival - Independence Day Salute,"Christopher Bell leads the Grant Park Orchestra for its annual Independence Day Salute, full of patriotic favorites including Gershwin's soaring Piano Concerto in F with pianist Terrence Wilson.
Map: http://goo.gl/maps/wt6bH
About: http://www.grantparkmusicfestival.com/2015-season/independence-day-salute
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com
","South Shore Cultural Center, 7059 South South Shore Drive, Chicago, IL 60649, United States",7/4/15,7/4/15,7:30:00 PM,9:30:00 PM,none
0,,,,,,Navy Pier Fireworks,"Navy Pier is the destination for fireworks on Lake Michigan all year long. Join us for spectacular fireworks perfectly synchronized to music, no matter the time of year. The summer schedule begins Memorial Day weekend with fireworks every Wednesday at 9:30 p.m. and Saturday at 10:15 p.m. through Labor Day weekend. Whether viewing from the dock or on board an evening cruise, fireworks is the perfect way to end your day at Navy Pier.
Map: http://goo.gl/maps/Ky7Hg
About: http://www.navypier.com/things2do/fireworks.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Navy Pier, East Grand Avenue, Chicago, IL, United States",7/4/15,7/4/15,10:15:00 PM,10:45:00 PM,none
