title,start_date_f,end_date_f,address,description,source,tags
Night Out: Jazz City Latin Jazz Fest at Humboldt,2015-07-18T13:30:00,2015-07-18T20:30:00,"Humboldt Park, 1400 N. Sacramento Ave , Chicago IL         60622","In collaboration with the Jazz Institute of Chicago, this community celebration brings Latin Jazz greats from around the country and right here at home to the beautiful Boathouse in Humboldt Park.
",parks,none
Night Out: Urban Gateways at Palmisano,2015-07-18T14:00:00,2015-07-18T15:00:00,"Palmisano Park, 2700 S. Halsted St., Chicago IL         60608","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: Acme Miniature Circus at Pulaski,2015-07-18T14:00:00,2015-07-18T15:15:00,"Pulaski Park, 1419 W. Blackhawk St., Chicago IL         60622","The Acme Miniature Circus is an authentic Victorian flea circus.  Watch Midge and Madge, rare trained fleas, perform spectacular circus stunts only seen before on top of the Crowned Heads of Europe. Acme Miniature Circus is part sideshow, part educational, and all fun. Suitable for ages 5 - 100.]",parks,none
Night Out: Dance in the Parks at Piotrowski,2015-07-18T15:00:00,2015-07-18T16:30:00,"Piotrowski Park, 4247 W. 31st St., Chicago IL         60623",Dance in the Parks brings professional concert dance to a temporary stage in Chicago's neighborhood parks! Performances include dance works by established up-and-coming Chicago choreographers performed by professional dancers as well as showcase opportunities for youth performers from the local neighborhoods. Free all- ages performance. Bring your picnic and enjoy the show!],parks,none
Night Out: Rhythmic Fusion at Hamilton,2015-07-18T16:00:00,2015-07-18T18:00:00,"Hamilton Park, 513 W. 72nd St., Chicago IL         60621",Dance to the drums during class with DJ Nick Nonstop. Then experience an African Contemporary exhibition with Ayodele Drum & Dance and Red Clay Dance Company. We also have arts and crafts in the Kidz Korner for a total family-fun event.],parks,none
Night Out: RE|Dance Group at Walsh,2015-07-18T17:00:00,2015-07-18T19:00:00,"Walsh Playground Park, 1722 N. Ashland Ave., Chicago IL         60614","RE|Dance Group will be presenting excerpts from their most popular evening-length works in site-specific areas throughout the park. Come join us for an exciting dance theatre experience as we take you on a journey to the many different landscapes and environments we create through movement! At Walsh, Churchill and Julia de Burgos Parks.]",parks,none
Night Out: Midsommer Flight at Touhy,2015-07-18T17:30:00,2015-07-18T19:30:00,"Touhy Park, 7348 N. Paulina St., Chicago IL         60626","   Enjoy a production of Shakespeare's - ""Macbeth"" in the park.      Midsommer Flight is a Chicago theatre collective dedicated to producing outdoor performances of Shakespeare's plays.   The plays are beautiful and exciting, full of love, lust, sorrow, revenge, magic and joy. Come out for a picnic and enjoy a free performance in the fresh air of a Chicago summer.  ]",parks,none
Night Out: Theater on the Lake at Berger,2015-07-18T19:30:00,2015-07-18T21:30:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660","Theater Oobleck presents, ""Song About Himself."" In a dystopian future, where the Internet has been effectively destroyed by viruses and malware, people communicate in mumbles. Looking for human interaction, Carol ― a woman made extraordinary by her ability to speak relatively clearly ― signs in to a mysterious social media site only to find that, strangely, she is its only member. The secrets she uncovers there will either cure or break her lonely heart. Employing an original form of verse derived from a corruption of Walt Whitman's Leaves of Grass, Song About Himself goes at the question every play asks: ""Do words, in the end, help?""]",parks,none
Night Out: Midsommer Flight at Touhy,2015-07-19T13:30:00,2015-07-19T15:30:00,"Touhy Park, 7348 N. Paulina St., Chicago IL         60626","   Enjoy a production of Shakespeare's - ""Macbeth"" in the park.      Midsommer Flight is a Chicago theatre collective dedicated to producing outdoor performances of Shakespeare's plays.   The plays are beautiful and exciting, full of love, lust, sorrow, revenge, magic and joy. Come out for a picnic and enjoy a free performance in the fresh air of a Chicago summer.  ]",parks,none
Night Out: Dance in the Parks at Churchill Field,2015-07-19T15:00:00,2015-07-19T16:30:00,"Churchill Field Playlot Park, 1825 N. Damen Ave., Chicago IL         60614",Dance in the Parks brings professional concert dance to a temporary stage in Chicago's neighborhood parks! Performances include dance works by established up-and-coming Chicago choreographers performed by professional dancers as well as showcase opportunities for youth performers from the local neighborhoods. Free all- ages performance. Bring your picnic and enjoy the show!],parks,none
Night Out: Chicago Shakes at Steelworkers,2015-07-19T16:00:00,2015-07-19T17:30:00,"Steelworkers Park , East 87th at Lake Michigan, Chicago IL         60619","Chicago?s favorite summer tradition, Chicago Shakespeare in the Parks brings  Shakespeare?s Greatest Hits , FREE FOR ALL, to 18 neighborhood parks. In this original production, Shakespeare?s characters and scenes are mashed-up with today?s popular music. From  Romeo and Juliet  to  Macbeth , audiences will experience a lively medley of Shakespeare?s thrilling stories.]",parks,none
Night Out: Nas: Time is Illmatic at Jackson,2015-07-19T18:00:00,2015-07-19T21:00:00,"Jackson Park, 6401 S. Stony Island Ave., Chicago IL         60637","PeacePark Project presents a screening of the documentary ""Nas: Time is Illmatic"" at Jackson Park. Twenty years after the release of Nas's groundbreaking debut album 'Illmatic,' ""Nas: Time is Illmatic"" takes us into the heart of his creative process. Come watch the film and discuss!]",parks,none
Night Out: Theater on the Lake at Berger,2015-07-19T18:30:00,2015-07-19T20:30:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660","Theater Oobleck presents, ""Song About Himself."" In a dystopian future, where the Internet has been effectively destroyed by viruses and malware, people communicate in mumbles. Looking for human interaction, Carol ― a woman made extraordinary by her ability to speak relatively clearly ― signs in to a mysterious social media site only to find that, strangely, she is its only member. The secrets she uncovers there will either cure or break her lonely heart. Employing an original form of verse derived from a corruption of Walt Whitman's Leaves of Grass, Song About Himself goes at the question every play asks: ""Do words, in the end, help?""]",parks,none
Night Out: School of Rock at Peterson,2015-07-19T19:00:00,2015-07-19T20:30:00,"Peterson Park, 5801 N. Pulaski Rd., Chicago IL         60646",School of Rock presents a live rock concert! School of Rock is a performance-based music school in Lakeview for kids 8-18 years. We believe that the best way to teach music is to play music. Our mission is to inspire kids on stage and in life.],parks,none
Night Out: Chicago Onscreen Showcase at Revere,2015-07-19T20:30:00,2015-07-19T22:24:00,"Hiawatha Park, 8029 W. Forest Preserve Dr., Chicago IL         60634"," 
",parks,none
Night Out: Chicago Onscreen Showcase at Revere,2015-07-19T20:30:00,2015-07-19T22:00:00,"Revere Park, 2509 W. Irving Park Rd., Chicago IL         60618"," 
",parks,none
Night Out: Sound Tracks at Jesse White,2015-07-20T18:00:00,2015-07-20T20:00:00,"Jesse White Community Center and Fieldhouse, 410-412 W. Chicago Avenue, Chicago IL         60610","Soundtracks brings all of the fun, excitement and entertainment of the movie to with a live performance by a band or other entertainers prior to the start of select Movie in the Parks showings. Not only are people getting a free movie, they are getting a free interactive performance too! With additional prizes and games, that will no doubt give families a reason to get up and get out early.]",parks,none
Night Out: And Then Galatea Laughed at Berger,2015-07-20T19:00:00,2015-07-20T20:30:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660"," Three Cat Productions performs a staged reading of ""And Then Galatea Laughed: A Very Modern Romance."" ]",parks,none
